Close Year,Date Stamp,Number of Records (copy),Number of Records,Type Desc,Uniq Id,Allegation Desc
2006,5/12/17,1,1,Abuse of Authority,305,Frisk
2006,5/12/17,1,1,Abuse of Authority,395,Frisk
2006,5/12/17,1,1,Abuse of Authority,396,Frisk
2006,5/12/17,1,1,Abuse of Authority,1215,Frisk
2006,5/12/17,1,1,Abuse of Authority,1671,Frisk
2006,5/12/17,1,1,Abuse of Authority,1893,Frisk
2006,5/12/17,1,1,Abuse of Authority,2245,Frisk
2006,5/12/17,1,1,Abuse of Authority,1521,Frisk and/or search
2006,5/12/17,1,1,Abuse of Authority,308,Other
2006,5/12/17,1,1,Abuse of Authority,701,Other
2006,5/12/17,1,1,Abuse of Authority,951,Other
2006,5/12/17,1,1,Abuse of Authority,1110,Other
2006,5/12/17,1,1,Abuse of Authority,2403,Other
2006,5/12/17,1,1,Abuse of Authority,1525,Premises entered and/or searched
2006,5/12/17,1,1,Abuse of Authority,684,Property damaged
2006,5/12/17,1,1,Abuse of Authority,1451,Property damaged
2006,5/12/17,1,1,Abuse of Authority,1453,Property damaged
2006,5/12/17,1,1,Abuse of Authority,1524,Property damaged
2006,5/12/17,1,1,Abuse of Authority,267,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,306,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,307,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,398,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,399,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,443,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,445,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,447,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,540,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,571,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,696,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,697,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,702,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,916,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,948,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,954,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1081,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1237,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1238,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1239,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1368,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1370,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1450,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1452,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1519,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1523,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1669,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1675,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1892,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1894,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1960,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,1966,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,2112,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,2128,Question and/or stop
2006,5/12/17,1,1,Abuse of Authority,2129,Question and/or stop
