Close Year,Date Stamp,Full Investigation,Number of Records (copy),Number of Records,Uniq Id
2006,5/12/17,Not Fully Investigated,1,1,17
2006,5/12/17,Not Fully Investigated,1,1,26
2006,5/12/17,Not Fully Investigated,1,1,42
2006,5/12/17,Not Fully Investigated,1,1,51
2006,5/12/17,Not Fully Investigated,1,1,59
2006,5/12/17,Not Fully Investigated,1,1,70
2006,5/12/17,Not Fully Investigated,1,1,71
2006,5/12/17,Not Fully Investigated,1,1,74
2006,5/12/17,Not Fully Investigated,1,1,81
2006,5/12/17,Not Fully Investigated,1,1,82
2006,5/12/17,Not Fully Investigated,1,1,84
2006,5/12/17,Not Fully Investigated,1,1,86
2006,5/12/17,Not Fully Investigated,1,1,88
2006,5/12/17,Not Fully Investigated,1,1,90
2006,5/12/17,Not Fully Investigated,1,1,91
2006,5/12/17,Not Fully Investigated,1,1,107
2006,5/12/17,Not Fully Investigated,1,1,116
2006,5/12/17,Not Fully Investigated,1,1,117
2006,5/12/17,Not Fully Investigated,1,1,118
2006,5/12/17,Not Fully Investigated,1,1,119
2006,5/12/17,Not Fully Investigated,1,1,120
2006,5/12/17,Not Fully Investigated,1,1,122
2006,5/12/17,Not Fully Investigated,1,1,130
2006,5/12/17,Not Fully Investigated,1,1,131
2006,5/12/17,Not Fully Investigated,1,1,137
2006,5/12/17,Not Fully Investigated,1,1,138
2006,5/12/17,Not Fully Investigated,1,1,140
2006,5/12/17,Not Fully Investigated,1,1,142
2006,5/12/17,Not Fully Investigated,1,1,143
2006,5/12/17,Not Fully Investigated,1,1,146
2006,5/12/17,Not Fully Investigated,1,1,148
2006,5/12/17,Not Fully Investigated,1,1,149
2006,5/12/17,Not Fully Investigated,1,1,150
2006,5/12/17,Not Fully Investigated,1,1,151
2006,5/12/17,Not Fully Investigated,1,1,153
2006,5/12/17,Not Fully Investigated,1,1,155
2006,5/12/17,Not Fully Investigated,1,1,156
2006,5/12/17,Not Fully Investigated,1,1,157
2006,5/12/17,Not Fully Investigated,1,1,158
2006,5/12/17,Not Fully Investigated,1,1,159
2006,5/12/17,Not Fully Investigated,1,1,161
2006,5/12/17,Not Fully Investigated,1,1,162
2006,5/12/17,Not Fully Investigated,1,1,163
2006,5/12/17,Not Fully Investigated,1,1,164
2006,5/12/17,Not Fully Investigated,1,1,165
2006,5/12/17,Not Fully Investigated,1,1,167
2006,5/12/17,Not Fully Investigated,1,1,168
2006,5/12/17,Not Fully Investigated,1,1,170
2006,5/12/17,Not Fully Investigated,1,1,172
2006,5/12/17,Not Fully Investigated,1,1,173
2006,5/12/17,Not Fully Investigated,1,1,174
